condition,county,cylinders,fuel,drive,Suma de id,manufacturer,model,Suma de odometer,Suma de price,size,title_status,transmission,type,VIN,Suma de year
excellent,United states,10 cylinders,diesel,4wd,7305200421,gmc,sierra 3500hd denali duramax,97500,55000,full-size,clean,automatic,pickup,1GT42YEY3JF165077,2018
excellent,United states,10 cylinders,gas,4wd,29215571200,bmw,3 series,213096,4,compact,clean,automatic,sedan,WBA3A5G52FNS83759,8060
excellent,United states,10 cylinders,gas,4wd,7316849673,bmw,3 series,69943,1,compact,clean,automatic,sedan,WBA3B9C58EP458559,2014
excellent,United states,10 cylinders,gas,4wd,21938582477,bmw,3 series,169515,3,compact,clean,automatic,sedan,WBA3C3G57FNS74571,6045
excellent,United states,10 cylinders,gas,4wd,14611336569,bmw,5 series,130478,2,compact,clean,automatic,sedan,WBA5B3C50FD545817,4030
excellent,United states,10 cylinders,gas,4wd,43881551275,bmw,5 series,402000,6,compact,clean,other,sedan,WBA5B1C55ED475704,12084
excellent,United states,10 cylinders,gas,4wd,21929988821,bmw,6 series,146478,3,compact,clean,automatic,sedan,WBA6B4C56FD986118,6045
excellent,United states,10 cylinders,gas,4wd,36573102082,chevrolet,impala,226655,5,compact,clean,other,sedan,2G11Z5S36K9108610,10095
excellent,United states,10 cylinders,gas,4wd,14628651134,chevrolet,malibu,74742,2,compact,clean,other,sedan,1G1ZD5ST8JF153183,4036
excellent,United states,10 cylinders,gas,4wd,43890239319,chrysler,300,311400,6,compact,clean,automatic,sedan,2C3CCAEG0JH148733,12108
excellent,United states,10 cylinders,gas,4wd,7306251616,dodge,challenger,35228,1,mid-size,clean,other,coupe,2C3CDZJG8KH504011,2019
excellent,United states,10 cylinders,gas,4wd,21922091948,dodge,charger,59202,3,compact,clean,other,sedan,2C3CDXBG7KH711511,6057
excellent,United states,10 cylinders,gas,4wd,7306251240,dodge,charger,42664,1,compact,clean,other,sedan,2C3CDXCT9JH201011,2018
excellent,United states,10 cylinders,gas,4wd,21906844824,dodge,journey,160974,3,compact,clean,other,wagon,3C4PDDGG8JT197176,6054
